;V1;V2;V3;;;
Equity;1.27E-05;3.25E-06;2.65E-05;;0.325117177;
Debt;3.25E-06;1.17E-05;-7.08E-06;;0.524294444;
Commodity;2.65E-05;-7.08E-06;0.000108376;;0.150588379;
;;;;;1;
;;;;;;
;;;;;std;9.59236E-06
;;;;;;
;;;;;;
;marginal risk;contribution;as%;;;
equity;9.83477E-06;3.19745E-06;33%;;;
debt;6.09858E-06;3.19745E-06;33%;;;
commodity;2.12331E-05;3.19745E-06;33%;;;
;;9.59236E-06;1;;;
;;;;;;
;;0.003097153;;;;
